term	reading	rank	meaning
贅沢	ゼイタク	4427	luxury; extravagance
監督	カントク	4428	supervision; control; superintendence; direction
しょ	ショ	4429	various; many; several
すっと	スット	4430	straight; quickly; directly; all of a sudden
職員	ショクイン	4431	staff member; employee; worker; personnel
釣る	ツル	4432	to fish; to angle; to catch
手間	テマ	4433	time; labour; labor; effort
庇う	カバウ	4434	to protect (someone); to look after (e.g. an injured leg); to defend; to cover for; to stand up for; to stick up for
ポーズ	ポーズ	4435	
シーン	シーン	4436	
破れる	ヤブレル	4437	to get torn; to tear; to rip; to break; to wear out
スタイル	スタイル	4438	
ふわふわ	フワフワ	4439	lightly (floating, drifting, etc.); buoyantly
上位	ジョウイ	4440	superior (in rank); top; ranking
なんぞ	ナンゾ	4441	
降り注ぐ	フリソソグ	4442	
色んな	イロンナ	4443	various; a variety of; all sorts of; many (different)
目を逸らす	メヲソラス	4444	
新人	シンジン	4445	newcomer; new figure; new member; recruit; rookie; new talent; new star
気力	キリョク	4446	willpower; energy; vitality
赤ちゃん	アカチャン	4447	baby; infant
突撃	トツゲキ	4448	
死者	シシャ	4449	dead person; (the) deceased; (the) dead; casualties
ペース	ペース	4450	
判明	ハンメイ	4451	becoming clear; coming to light; being ascertained; being identified; being confirmed
明かす	アカス	4452	to pass (the night); to spend
観る	ミル	4453	to see; to look; to watch; to view; to observe
人目	ヒトメ	4454	(public) notice; attention; public eye; public gaze
証言	ショウゲン	4455	testimony; (verbal) evidence
どころ	ドコロ	4456	
なあに	ナアニ	4457	
勢力	セイリョク	4458	influence; power; might; strength; potency; force; energy
中学生	チュウガクセイ	4459	junior high school student; middle school pupil
醜い	ミニクイ	4460	ugly; unattractive; bad-looking
蓋	フタ	4461	cover; lid; cap
思い浮かべる	オモイウカベル	4462	
制する	セイスル	4463	to hold back (e.g. emotions); to rein in (e.g. a horse, unruly people); to bridle
人格	ジンカク	4464	personality; character; individuality; personhood
涙を流す	ナミダヲナガス	4465	
まさしく	マサシク	4466	
兼ねる	カネル	4467	to be unable to; to find difficult (unpleasant, awkward, painful) to do
からすれば	カラスレバ	4468	
曇る	クモル	4469	to get cloudy; to cloud over; to become overcast
上着	ウワギ	4470	coat; jacket; outerwear
五分	ゴブ	4471	half; 50%
中途半端	チュウトハンパ	4472	halfway; half measures; unfinished; incomplete; by halves; half-baked; half-cocked; half-hearted; half-arsed; half-assed
緊急	キンキュウ	4473	urgency; emergency
決心	ケッシン	4474	determination; resolution
念	ネン	4475	sense; idea; thought; feeling
検査	ケンサ	4476	inspection (e.g. customs, factory); examination; test; check; scan (e.g. MRI, PET); audit
運転	ウンテン	4477	operation (of a machine); running; working
解散	カイサン	4478	breaking up (a meeting, gathering, etc.); dispersal (e.g. of a crowd)
不利	フリ	4479	disadvantage; handicap; unfavorable position
スペース	スペース	4480	
凝視	ギョウシ	4481	stare; gaze; fixation
何かと	ナニカト	4482	one way or another; in many ways; in various ways
象徴	ショウチョウ	4483	symbol (of something abstract); emblem; (symbolic) representation
支払う	シハラウ	4484	to pay
焦り	アセリ	4485	impatience
絶える	タエル	4486	to die out; to peter out; to become extinct
横から	ヨコカラ	4487	
かわす	カワス	4488	to exchange (messages, greetings, arguments, etc.)
いっしょに	イッショニ	4489	together (with)
迷惑をかける	メイワクヲカケル	4490	
あきらめる	アキラメル	4491	to give up; to abandon (hope, plans); to resign oneself (to)
１日	イチニチ	4492	one day
よーし	ヨーシ	4493	alright; all right; right on; looking good; OK; okay
というわけだ	トイウワケダ	4494	
まわり	マワリ	4495	circumference; girth
いやらしい	イヤラシイ	4496	unpleasant; disagreeable; nasty
よこす	ヨコス	4497	to send; to forward
嘘をつく	ウソヲツク	4498	
なんとかなる	ナントカナル	4499	
打ち合わせ	ウチアワセ	4500	(preparatory) meeting; briefing session; (making) advance arrangements
一	ヒト	4501	one
公	コウ	4503	you; buddy; pal
飛び降りる	トビオリル	4504	to jump down; to leap down; to jump off; to leap off
顔を覗く	カオヲノゾク	4505	
挑発	チョウハツ	4506	provocation; stirring up; arousal; excitement; stimulation
帰還	キカン	4507	return (home); repatriation
欠片	カケラ	4508	fragment; broken piece; chip; splinter; shard
否	イイエ	4509	no; the noes
コンビニ	コンビニ	4510	
秘める	ヒメル	4511	to hide; to keep to oneself
反射	ハンシャ	4512	reflection; reverberation
本部	ホンブ	4513	headquarters; head office; main office
泥	ドロ	4514	mud; (wet) dirt
化粧	ケショウ	4515	make-up; makeup; cosmetics
惚れる	ホレル	4516	to fall in love (with); to fall for; to become enamored (with); to be taken (with)
踏み出す	フミダス	4517	
くぐる	クグル	4518	to go under; to pass under; to go through; to pass through
可哀想	カワイソウ	4519	poor; pitiable; pathetic; pitiful
目に遭う	メニアウ	4520	
世話になる	セワニナル	4521	
機嫌	キゲン	4522	humour; humor; temper; mood; spirits
分厚い	ブアツイ	4523	
無関係	ムカンケイ	4524	unrelated
昼休み	ヒルヤスミ	4525	lunch break; noon recess; noon rest period
そんな中	ソンナナカ	4526	wherein; therein; thereinto
何一つ	ナニヒトツ	4527	
切ない	セツナイ	4528	painful; heartrending; trying
すらも	スラモ	4529	
政治	セイジ	4530	politics; government
ダンス	ダンス	4531	
層	ソウ	4532	koto (13-stringed Japanese zither)
警告	ケイコク	4533	warning; caution; admonition
着地	チャクチ	4534	landing (on the ground)
旧	キュウ	4535	old; former; ex-
アピール	アピール	4536	
満面	マンメン	4537	the whole face
嗅ぐ	カグ	4538	to sniff; to smell
方角	ホウガク	4539	direction; way
息をつく	イキヲツク	4540	
温度	オンド	4541	temperature
投げ出す	ナゲダス	4542	to throw down; to throw out; to stretch out (one's legs)
独り言	ヒトリゴト	4543	soliloquy; monologue; speaking to oneself
悪夢	アクム	4544	nightmare; bad dream
位	クライ	4545	approximately; about; around; or so
傘	カサ	4546	umbrella; parasol
カレー	カレー	4547	
もう一回	モウイッカイ	4548	
苦しめる	クルシメル	4549	to torment; to pain; to inflict (physical) pain; to hurt
ぽつり	ポツリ	4550	
異変	イヘン	4551	unusual event; strange occurrence; strange phenomenon; something abnormal; change (for the worse); accident; disaster
市民	シミン	4552	citizen (of a country); citizenry
在る	アル	4553	to be; to exist; to live
陰	カゲ	4554	shade; shadow
眼前	ガンゼン	4555	
迎えに来る	ムカエニクル	4556	
説	セツ	4557	theory; doctrine
職	ショク	4558	job; work; employment; occupation; position
こする	コスル	4559	to rub; to scrub; to scrape
合格	ゴウカク	4560	passing (an exam); pass; success; passing grade
クリア	クリア	4561	
敷地	シキチ	4562	site; plot; lot; grounds
限定	ゲンテイ	4563	limit; restriction
喰う	クウ	4564	to eat
一角	イッカク	4565	corner; section; point; part
取り込む	トリコム	4566	to take in; to bring in; to adopt (e.g. behaviour); to introduce
思い返す	オモイカエス	4567	
じみる	ジミル	4568	
お疲れ様	オツカレサマ	4569	thank you (for your hard work); good work
力を入れる	チカラヲイレル	4570	
意地	イジ	4571	stubbornness; obstinacy; willpower; pride
あるらしい	アルラシイ	4572	
紫	ムラサキ	4573	purple; violet
使命	シメイ	4574	mission; errand
追い込む	オイコム	4575	to herd; to drive; to chase; to corral
あからさま	アカラサマ	4576	
興味を持つ	キョウミヲモツ	4577	
結婚式	ケッコンシキ	4578	marriage ceremony; wedding; nuptials
におい	ニオイ	4579	smell; scent; odour; odor; stench
引き返す	ヒキカエス	4580	to turn back; to go back; to come back; to return; to retrace one's steps
お断り	オコトワリ	4581	
ただただ	タダタダ	4582	
わかりやすい	ワカリヤスイ	4583	
こらえる	コラエル	4584	
かう	カウ	4585	
もしや	モシヤ	4586	
いわば	イワバ	4587	so to speak; so to call it; as it were; in a sense
やさしい	ヤサシイ	4588	easy; plain; simple
まわる	マワル	4589	to turn; to rotate; to revolve; to spin
ひく	ヒク	4590	to pull; to tug; to lead (e.g. a horse)
いでる	イデル	4591	
あの方	アノカタ	4592	that gentleman; that lady; he; she
こととなる	コトトナル	4593	
ばれる	バレル	4594	to leak out (of a secret); to come out; to be exposed (of a lie, improper behaviour, etc.); to be found out; to be discovered
真っ暗	マックラ	4595	pitch-dark; pitch-black; completely dark
うわー	ウワー	4596	
どなた	ドナタ	4597	who
多すぎる	オオスギル	4598	
子たち	コタチ	4599	
マズイ	マズイ	4600	bad(-tasting); unpalatable; unsavoury; unsavory; awful; terrible; unpleasant
臭い	ニオイ	4601	smell; scent; odour; odor; stench
お待たせしました	オマタセシマシタ	4602	thank you for waiting; sorry to have kept you waiting
熊	クマ	4603	bear (any mammal of family Ursidae)
放棄	ホウキ	4604	abandonment; renouncement; renunciation; resignation; abdication; surrender; relinquishing; waiving; giving up
芝居	シバイ	4605	play; drama
水面	スイメン	4606	water's surface
お別れ	オワカレ	4607	
無くなる	ナクナル	4608	to be lost (e.g. luggage); to be missing
群	グン	4609	group; bunch; crowd; throng; swarm; band; herd; school (of fish)
振り	フリ	4610	swing; shake; sweep; wave; wag
損	ソン	4611	loss; damage; harm; unprofitable
匂いがする	ニオイガスル	4612	
高速	コウソク	4613	high-speed; rapid; express
瓶	ビン	4614	bottle; jar; decanter; flagon; phial; vial
お気に入り	オキニイリ	4615	favorite; favourite; pet (e.g. teacher's pet)
吸収	キュウシュウ	4616	absorption; suction; attraction
一個	イッコ	4617	one (thing); one piece; one item
段	ダン	4618	step; stair; rung; (flight of) steps
憎い	ニクイ	4619	hateful; detestable; abominable; vexing; provoking
進化	シンカ	4620	evolution
ふわり	フワリ	4621	softly; gently; lightly
乱す	ミダス	4622	to throw into disorder; to disarrange; to disturb (order, peace, etc.); to corrupt (public morals); to dishevel (hair)
集合	シュウゴウ	4623	meeting up; gathering; assembly
抜き	ヌキ	4624	leaving out; omitting; skipping; dispensing with
息を吐く	イキヲハク	4625	
煽る	アオル	4626	to fan (oneself, flames, etc.)
油	アブラ	4627	oil
瞼	マブタ	4628	eyelid
混ざる	マザル	4629	to be mixed; to be blended with; to associate with; to mingle with; to join
繰り出す	クリダス	4630	to draw (a thread); to let out (e.g. a rope)
年下	トシシタ	4631	younger; junior
初対面	ショタイメン	4632	first meeting; first interview with
同僚	ドウリョウ	4633	coworker; co-worker; colleague; associate
神社	ジンジャ	4634	Shinto shrine
に限って	ニカギッテ	4635	particularly; only; in the case of
緊張感	キンチョウカン	4636	
敵意	テキイ	4637	hostility; animosity; enmity
墓	ハカ	4638	grave; gravesite; tomb
前に進む	マエニススム	4639	
指揮	シキ	4640	command; direction; supervision
解消	カイショウ	4641	cancellation; liquidation; resolution; reduction (e.g. of stress)
劣る	オトル	4642	to be inferior to; to be less good at; to fall behind
頭部	トウブ	4643	head
泡	アワ	4644	bubble; foam; froth; suds; lather; head (on beer)
潜る	モグル	4645	to go under; to pass under; to go through; to pass through
スタート	スタート	4646	
休日	キュウジツ	4647	holiday; day off
持って行く	モッテイク	4648	to take (something) along; to bring with one; to carry (something) away; to bear
涼しい	スズシイ	4649	cool; refreshing
頼り	タヨリ	4650	reliance; dependence
閉ざす	トザス	4651	to shut; to close; to fasten; to lock
披露	ヒロウ	4652	announcement; presentation; demonstration; displaying; showing; introducing; unveiling; revealing; performing
きょとん	キョトン	4653	
優しくする	ヤサシクスル	4654	
卑怯	ヒキョウ	4655	cowardly; craven
干渉	カンショウ	4656	interference; intervention; meddling
スタッフ	スタッフ	4657	
一階	イッカイ	4658	first floor; ground floor
冒険	ボウケン	4659	adventure; venture
親指	オヤユビ	4660	thumb
肘	ヒジ	4661	elbow
立ち尽くす	タチツクス	4662	
何事も	ナニゴトモ	4663	
騒動	ソウドウ	4664	riot; rebellion; turmoil; strife
切り出す	キリダス	4665	
起動	キドウ	4666	startup; booting up; activation; starting (e.g. engine, computer); launch
目当て	メアテ	4667	mark; guide; landmark
繊細	センサイ	4668	dainty; delicate (e.g. fingers); fine; slim
なめる	ナメル	4669	to lick; to lap; to suck
パソコン	パソコン	4670	
衝突	ショウトツ	4671	collision; crash; impact; running into
誰だって	ダレダッテ	4672	
身を乗り出す	ミヲノリダス	4673	
打ち明ける	ウチアケル	4674	to confide; to reveal; to disclose; to lay bare; to speak frankly; to open (one's heart)
自己	ジコ	4675	self; oneself
思惑	オモワク	4676	expectation; anticipation; prediction; forecast; calculations
そうかもしれない	ソウカモシレナイ	4677	
対峙	タイジ	4678	standing facing each other (e.g. mountains, buildings); standing opposite each other
借金	シャッキン	4679	debt; loan; liabilities; borrowing money
遺体	イタイ	4680	(dead) body; corpse; remains
紐	ヒモ	4681	string; cord
惹く	ヒク	4682	to pull; to tug; to lead (e.g. a horse)
同	ドウ	4683	the same; the said
手続き	テツヅキ	4684	procedure; process; proceedings; formalities
すれ違う	スレチガウ	4685	
くすぐったい	クスグッタイ	4686	ticklish
ほとんどない	ホトンドナイ	4687	
とっさに	トッサニ	4688	at once; immediately; instantly; in an instant; quickly; suddenly; on the spur of the moment
こわい	コワイ	4689	scary; frightening; eerie; dreadful
上手くいく	ウマクイク	4690	to go smoothly; to turn out well; to do the trick; to have peaceful relations
お久しぶり	オヒサシブリ	4691	it's been a long time; long time no see
さらす	サラス	4692	to expose (to the sun, public, danger, etc.)
おばあちゃん	オバアチャン	4693	granny; grandma; gran
といわれる	トイワレル	4694	
噴き出す	フキダス	4695	to spout out; to spurt out; to gush out; to jet out
手がかり	テガカリ	4696	clue; lead; key; trail; scent; track
心当たり	ココロアタリ	4697	having in mind; happening to know (of); idea (of); inkling
面倒くさい	メンドウクサイ	4698	bothersome; tiresome; bother to do
すばらしい	スバラシイ	4699	wonderful; splendid; magnificent; amazing; superb
いたい	イタイ	4700	
高	タカ	4702	quantity; amount; volume; number; amount of money
概念	ガイネン	4703	general idea; concept; notion
に決まっている	ニキマッテイル	4704	
日本語	ニホンゴ	4705	Japanese (language)
余	ヨ	4706	
潤む	ウルム	4707	to be wet (with tears); to be moist
嘆く	ナゲク	4708	to lament; to grieve; to regret
力が抜ける	チカラガヌケル	4709	
幼い頃	オサナイコロ	4710	
殺害	サツガイ	4711	killing; murder
招待	ショウタイ	4712	invitation
決着	ケッチャク	4713	conclusion; decision; end; settlement
放り込む	ホウリコム	4714	
振り上げる	フリアゲル	4715	
黄色い	キイロイ	4716	yellow
尾	オ	4717	tail (of an animal); cauda
お姫様	オヒメサマ	4718	
ペン	ペン	4719	
非	ヒ	4720	fault; error; mistake
不安定	フアンテイ	4721	instability; insecurity; crankiness
カップル	カップル	4722	
快楽	カイラク	4723	pleasure
受け継ぐ	ウケツグ	4724	to inherit; to succeed; to take over
撤退	テッタイ	4725	evacuation; withdrawal; revocation; repeal; retreat
相性	アイショウ	4726	affinity; compatibility; chemistry (between people)
遭う	アウ	4727	to meet; to encounter; to see
一度だけ	イチドダケ	4728	
最期	サイゴ	4729	one's last moment; one's death; one's end
スーツ	スーツ	4730	
なくても	ナクテモ	4731	
決定的	ケッテイテキ	4732	definite; final; decisive; conclusive
要請	ヨウセイ	4733	appeal; call for something; request; claim; demand
配慮	ハイリョ	4734	consideration; concern; attention; thoughtfulness; making arrangements; care; trouble
員	イン	4735	member
義理	ギリ	4736	duty; sense of duty; honor; honour; decency; courtesy; debt of gratitude; social obligation
理論	リロン	4737	theory
ぶる	ブル	4738	
まして	マシテ	4739	still more; to say nothing of; not to mention
物騒	ブッソウ	4740	dangerous; unsettled; troubled; disturbed; insecure
連れ出す	ツレダス	4741	
一晩	ヒトバン	4742	one night; one evening
ぎこちない	ギコチナイ	4743	awkward; clumsy; stiff; crude; unrefined; constrained
鳴り響く	ナリヒビク	4744	
友情	ユウジョウ	4745	friendship; fellowship; camaraderie
ライバル	ライバル	4746	
緑色	ミドリイロ	4747	green; green color
留守	ルス	4748	absence; being away from home
二度目	ニドメ	4749	
如く	ゴトク	4750	
さっと	サット	4751	quickly (esp. actions)
見に来る	ミニクル	4752	
ＯＫ	オッケー	4753	OK; okay
アドバイス	アドバイス	4754	
冷蔵庫	レイゾウコ	4755	refrigerator; fridge
優勝	ユウショウ	4756	overall victory; championship; winning the title
気遣い	キヅカイ	4757	consideration; concern; fear; worry; solicitude
不要	フヨウ	4758	unnecessary; unneeded
青ざめる	アオザメル	4759	to become pale; to turn pale
章	ショウ	4760	chapter; section
現に	ゲンニ	4761	actually; really
凍る	コオル	4762	to freeze; to become frozen; to freeze over
吹き飛ぶ	フキトブ	4763	to be blown off; to blow off; to blow away
気にしないで	キニシナイデ	4764	
覚醒	カクセイ	4765	waking up; awakening; arousal; revival
サポート	サポート	4766	
裂く	サク	4767	to tear; to rip up
止む	ヤム	4768	to cease; to stop; to be over
たった一人	タッタヒトリ	4769	
着ける	ツケル	4770	to attach; to join; to connect; to add; to append; to affix; to stick; to glue; to fasten; to sew on; to apply (ointment); to put against
退く	シリゾク	4771	to step back; to move back; to retreat
本体	ホンタイ	4772	substance; true form; true character
地点	チテン	4773	spot; point; place; position
素振り	ソブリ	4774	
きっぱり	キッパリ	4775	clearly; plainly; distinctly; decisively; flatly; definitely; resolutely
大騒ぎ	オオサワギ	4776	clamour; clamor; uproar; tumult; furore; furor
存じる	ゾンジル	4777	to know; to be aware (of); to be acquainted (with)
初日	ショニチ	4778	first day; opening day
年頃	トシゴロ	4779	approximate age; apparent age
持って来る	モッテクル	4780	to bring (something); to take along; to fetch; to get
独立	ドクリツ	4781	independence; self-reliance; supporting oneself; being on one's own
効率	コウリツ	4782	efficiency
陽	ヒ	4783	(the) positive
さる	サル	4785	"last ... (e.g. ""last April"")"
そこで	ソコデ	4786	so; accordingly; now; then; thereupon; therefore
弱々しい	ヨワヨワシイ	4787	
やむ	ヤム	4788	to cease; to stop; to be over
投げつける	ナゲツケル	4789	
絶対に	ゼッタイニ	4790	absolutely; definitely; unconditionally
死に	シニ	4791	
考えてみれば	カンガエテミレバ	4792	if you think about it; come to think of it
いい感じ	イイカンジ	4793	
まとう	マトウ	4794	
あるだけ	アルダケ	4795	
ケガ	ケガ	4796	injury; wound
ご迷惑	ゴメイワク	4797	
眉をひそめる	マユヲヒソメル	4798	
こん	コン	4799	
なんというか	ナントイウカ	4800	how should I put it?; what shall I say?; well, you know; like
物体	ブッタイ	4801	object; body; solid
差し上げる	サシアゲル	4802	to lift up; to hold up; to raise
交流	コウリュウ	4803	exchange (e.g. cultural); interchange; interaction; mingling; mixing; coming together
仕込む	シコム	4804	
なぞる	ナゾル	4805	
収穫	シュウカク	4806	harvest; crop; ingathering
直撃	チョクゲキ	4807	direct hit
各地	カクチ	4808	each place; every place; various places; all parts (of the country, world, etc.)
拠点	キョテン	4809	base (of operations); site; location; center; foothold; stronghold; (strategic) position
四つ	ヨッツ	4810	four; 4
アイドル	アイドル	4811	
急速	キュウソク	4812	rapid (e.g. progress)
キッチン	キッチン	4813	
欲	ヨク	4814	greed; craving; desire; appetite; hunger; avarice; wants
最低限	サイテイゲン	4815	minimum
へん	ヘン	4816	change
久々	ヒサビサ	4817	(in a) long time; long time (ago); while (ago); long ago; long while (ago); (in a) long while
国内	コクナイ	4818	within the country; inside the county; domestic; home; internal
樹	キ	4819	tree; shrub; bush
無防備	ムボウビ	4820	
兄妹	ケイマイ	4821	
浮気	ウワキ	4822	extramarital sex; affair; fooling around
すっきり	スッキリ	4823	refreshingly; with a feeling of relief; pleasantly; (a weight) off one's shoulder
眠り	ネムリ	4824	sleep; sleeping
一行	イッコウ	4825	party; group; troop; company
放送	ホウソウ	4826	broadcasting; broadcast; program; announcement
花火	ハナビ	4827	fireworks
きゃあ	キャア	4828	
金額	キンガク	4829	amount of money; sum
天気	テンキ	4830	weather
浸る	ヒタル	4831	to be soaked in; to be flooded; to be submerged
心地	ココチ	4832	feeling; sensation; mood
プール	プール	4833	
店主	テンシュ	4834	shopkeeper; storekeeper; proprietor of a shop
無用	ムヨウ	4835	useless; futile
らか	ラカ	4836	
情熱	ジョウネツ	4837	passion; enthusiasm; zeal
瞬時	シュンジ	4838	instant; moment; (split) second; (in a) flash; (in the) blink of an eye
歩み	アユミ	4839	walking
洗濯	センタク	4840	washing; laundry
毎回	マイカイ	4841	every time; each round
ジュース	ジュース	4842	
道理	ドウリ	4843	reason; logic; sense; truth; right
元に戻る	モトニモドル	4844	
同級生	ドウキュウセイ	4845	classmate
相手をする	アイテヲスル	4846	
嫌がらせ	イヤガラセ	4847	harassment; pestering
うんざり	ウンザリ	4848	tedious; boring; being fed up with
結末	ケツマツ	4849	end; conclusion
一刻も早く	イッコクモハヤク	4850	
滞在	タイザイ	4851	stay; sojourn
ふらふら	フラフラ	4852	unsteadily (e.g. on one's feet); shakily; staggering; tottering; reeling; dizzily; giddily
通過	ツウカ	4853	passing through (a tunnel, station, town, etc.); passing by (e.g. of a typhoon); transit
落ち着ける	オチツケル	4854	
なんてこと	ナンテコト	4855	
読み取る	ヨミトル	4856	
文	ブン	4857	sentence
であれ	デアレ	4858	
紅	クレナイ	4859	deep red; crimson
動機	ドウキ	4860	motive; incentive
一通り	ヒトトオリ	4861	generally; in the main; briefly (look over, explain, etc.); roughly; more or less
末	スエ	4862	end; tip; top
特有	トクユウ	4863	characteristic (of); peculiar (to)
演奏	エンソウ	4864	musical performance
後を追う	アトヲオウ	4865	
誘拐	ユウカイ	4866	abduction; kidnapping; kidnaping
放り出す	ホウリダス	4867	
順番	ジュンバン	4868	order; turn
イケメン	イケメン	4869	good-looking guy; handsome man; hunk; Adonis; cool guy
無礼	ブレイ	4870	rudeness; impoliteness; discourtesy; insolence
澄む	スム	4871	to become clear (water, air, etc.); to become transparent
じゃう	ジャウ	4872	to do completely
距離を取る	キョリヲトル	4873	
何気ない	ナニゲナイ	4874	casual; unconcerned; nonchalant; indifferent; offhand
信仰	シンコウ	4875	(religious) faith; belief; creed
お土産	オミヤゲ	4876	local specialty or souvenir bought as a gift while traveling (travelling)
発射	ハッシャ	4877	firing (esp. a rocket or missile); launching; shooting; discharge; catapult
小娘	コムスメ	4878	
そうすると	ソウスルト	4879	having done that; if that is done; if it is done in that way
上半身	ジョウハンシン	4880	upper half of the body; upper body
荒れる	アレル	4881	to become stormy; to become rough (of the sea)
リアル	リアル	4882	
滅びる	ホロビル	4883	to go to ruin; to go under; to fall; to be destroyed; to die out; to become extinct; to perish
行方不明	ユクエフメイ	4884	missing (of a person); lost; unaccounted for; whereabouts unknown
いくつ	イクツ	4885	how many
仕組み	シクミ	4886	structure; construction; arrangement; contrivance; mechanism; workings
だれ	ダレ	4887	who
ハッキリ	ハッキリ	4888	clearly; plainly; distinctly
３日	ミッカ	4889	3rd day of the month
どっちも	ドッチモ	4890	both
向かい合う	ムカイアウ	4891	
２人とも	フタリトモ	4892	both (people); the two of them
なおさら	ナオサラ	4893	still more; even more; all the more
ついていく	ツイテイク	4894	to accompany; to follow; to keep up with
しかたない	シカタナイ	4895	there's no (other) way
目をやる	メヲヤル	4896	
あわてる	アワテル	4897	to become confused (disconcerted, disorganized, disorganised); to be flustered; to panic
かといって	カトイッテ	4898	having said that; on the other hand; (but) then; (but) still
良く	ヨク	4899	nicely; properly; well; skillfully; skilfully
後ろ姿	ウシロスガタ	4900	(a person's) appearance from behind; person as seen from behind; back view; retreating figure
弾	ダン	4901	ball; sphere; globe; orb
位	イ	4902	rank; place (e.g. first place)
愛しい	イトシイ	4903	lovely; dear; beloved; darling; dearest
リボン	リボン	4904	
片隅	カタスミ	4905	corner; nook
大規模	ダイキボ	4906	large-scale
コントロール	コントロール	4907	
館	ヤカタ	4908	
巨人	キョジン	4909	giant; great man
よしよし	ヨシヨシ	4910	
この際	コノサイ	4911	
映す	ウツス	4912	to project; to reflect; to cast (shadow)
ものとする	モノトスル	4913	
悲劇	ヒゲキ	4914	tragedy; tragic drama; tragic play
見学	ケンガク	4915	inspection; study by observation; field trip; tour; review
整備	セイビ	4916	maintenance; servicing
痛	ツウ	4917	authority; expert; connoisseur; well-informed person
箇所	カショ	4918	place; point; part; spot; area; passage; portion
席を立つ	セキヲタツ	4919	
アパート	アパート	4920	
文字通り	モジドオリ	4921	literally; to the letter
全滅	ゼンメツ	4922	total destruction; complete destruction; annihilation; being wiped out
不愉快	フユカイ	4923	unpleasant; disagreeable; displeasing; uncomfortable; unhappy
鈴	スズ	4924	bell (often globular)
小僧	コゾウ	4925	youngster; boy; kid; brat; lad
取材	シュザイ	4926	gathering material (for an article, novel, etc.); collecting information; covering (an event, incident, etc.); reporting; interview (for a news story)
余る	アマル	4927	to remain; to be left over; to be in excess; to be too many
乾杯	カンパイ	4928	cheers; bottoms-up; prosit
太る	フトル	4929	to put on weight; to gain weight; to grow fat; to get stout
または	マタハ	4930	or; either ... or ...
ありゃ	アリャ	4931	
知恵	チエ	4932	wisdom; wit; sagacity; sense; intelligence
習慣	シュウカン	4933	habit
溺れる	オボレル	4934	to struggle in the water; to sink below the surface and become unable to breathe; to (nearly) drown
耳を傾ける	ミミヲカタムケル	4935	
ピンク	ピンク	4936	
次回	ジカイ	4937	next time (occasion)
弾む	ハズム	4938	to spring; to bound; to bounce
長い間	ナガイアイダ	4939	long time; long interval; for quite some time
パワー	パワー	4940	
申し訳ございません	モウシワケゴザイマセン	4941	
観客	カンキャク	4942	spectator; audience
一員	イチイン	4943	one person; one member
引き起こす	ヒキオコス	4944	to cause; to induce; to bring about; to provoke
割と	ワリト	4945	comparatively; relatively; fairly; rather; pretty; unexpectedly
阻止	ソシ	4946	obstruction; prevention; hindrance; check; blocking; stopping
圧倒	アットウ	4947	to overwhelm (e.g. an opponent); to overpower; to crush; to defeat completely
真相	シンソウ	4948	truth; real situation
一家	イッカ	4949	a family; a household; a home; one's family; whole family
ビール	ビール	4950	
外国	ガイコク	4951	foreign country
情	ジョウ	4952	feelings; emotion; sentiment
一礼	イチレイ	4953	example; an instance
面々	メンメン	4954	every person; each one; everybody
企画	キカク	4955	planning; plan; project; arrangements
何しろ	ナニシロ	4956	in any case; at any rate; anyhow; anyway; as you know; for you see; particularly
諸君	ショクン	4957	you (people)
来週	ライシュウ	4958	next week
やり直す	ヤリナオス	4959	to do over again; to redo; to start over; to remake; to resume; to recommence
お部屋	オヘヤ	4960	
お呼び	オヨビ	4961	
華やか	ハナヤカ	4962	bright and beautiful; gorgeous; showy; brilliant; splendid; gay; colorful; flowery
企業	キギョウ	4963	enterprise; business; company; corporation
さえあれば	サエアレバ	4964	if only (you) have; as long as (you) have; whenever (you) have
腹が立つ	ハラガタツ	4965	
手入れ	テイレ	4966	care; looking after; repair; maintenance; tending; trimming; grooming
遊びに来る	アソビニクル	4967	
さようなら	サヨウナラ	4968	farewell; adieu; goodbye; so long
お祝い	オイワイ	4969	congratulation; congratulations; celebration; festival
極端	キョクタン	4970	extreme; extremity
一緒になる	イッショニナル	4971	
本に	ホンニ	4972	
呼び止める	ヨビトメル	4973	
急激	キュウゲキ	4974	sudden; abrupt; rapid; sharp; drastic; radical
何百	ナンビャク	4975	hundreds
下半身	カハンシン	4976	lower half of the body; nether parts
うるせえ	ウルセエ	4977	
左腕	サワン	4978	left arm
かなー	カナー	4979	I wonder
すう	スウ	4980	
いくらなんでも	イクラナンデモ	4981	
ろくに	ロクニ	4982	(not) well; (not) properly; (not) enough; (not) sufficiently; (not) satisfactorily; (not) decently
あな	アナ	4983	hole; opening; orifice; perforation
時間をかける	ジカンヲカケル	4984	
かばう	カバウ	4985	to protect (someone); to look after (e.g. an injured leg); to defend; to cover for; to stand up for; to stick up for
ためらう	タメラウ	4986	to hesitate; to waver
もしかすると	モシカスルト	4987	perhaps; possibly; maybe; by some chance
こないだ	コナイダ	4988	
いかなる	イカナル	4989	
打ち込む	ウチコム	4990	to drive in (a nail, stake, etc.); to hammer in
バカにする	バカニスル	4991	
キツい	キツイ	4992	tough; hard; severe; demanding; harsh
ヶ月	カゲツ	4993	counter for months
どのくらい	ドノクライ	4994	how long; how far; how much
ところが	トコロガ	4995	even so; however; still; whereupon; even though; nevertheless; on the contrary; as a matter of fact; despite
いささか	イササカ	4996	a little; a bit; somewhat; slightly; rather
